company,idea,industry,subindustry,tags
&AI,Collaborative workspace for patent litigators,B2B,B2B -> Legal,SaaS|B2B|LegalTech
/dev/fast,/dev/fast is the AI-native code forge,B2B,B2B,Developer Tools
1000Memories,Memorial sites.,Consumer,Consumer -> Home and Personal,Community
100x,"Create, Share, and Monetize AI Agents",B2B,B2B -> Productivity,Artificial Intelligence|AI|AI Assistant
10x,AI Sales Teams for Dental Practices,Healthcare,Healthcare,
10x Science,The AI-native platform for next-generation protein characterization.,B2B,B2B,SaaS|B2B|Biotech|AI
1849 bio,Engineering microbes for miners to unlock billions in trapped metal,Industrials,Industrials,Hard Tech|Synthetic Biology|Biotech|Climate|Mining
1910,Multimodal AI Platform for Modality Agnostic Drug DiscoveryTM,Healthcare,Healthcare -> Therapeutics,AI-powered Drug Discovery
1stCollab,Performance-Optimized Influencer Marketing at Scale,B2B,B2B -> Marketing,Artificial Intelligence|Machine Learning|Marketing|Advertising|Creator Economy
20n,Using AI to predict biochemistry for manufacturing and therapeutics,Healthcare,Healthcare -> Industrial Bio,Artificial Intelligence|Biotech
21st,UI building blocks for the agentic internet,B2B,"B2B -> Engineering, Product and Design",
222,the AI social facilitator for offline human to human interactions,Consumer,Consumer,Machine Learning|Marketplace|Consumer|Social|AI
42,Analytics stack for omnichannel retailers and brands,B2B,B2B -> Retail,SaaS|Analytics|Retail
42Floors,We make it easy to search for office space.,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate|Proptech
500Friends,the best loyalty and retention marketing partner for CMOs.,B2B,B2B -> Retail,Marketing
54Gene,Precision medicine for Africans and the global population,Healthcare,Healthcare -> Consumer Health and Wellness,Genomics
6thSense,Nervous System for Physical AI,Industrials,Industrials -> Manufacturing and Robotics,Robotics
83 Sciences,AI-native materials discovery powered by unpublished experimental data,Industrials,Industrials,Hard Tech|Advanced Materials|AI
9 Mothers,Counter Drone Systems. $1.6m sales. We delivered for the DoW.,Industrials,Industrials -> Defense,
99minutos,The fastest shipping for online shopping,B2B,B2B -> Supply Chain and Logistics,Logistics
9gag,Make the world happier.,Consumer,Consumer -> Social,Social Media|Social|Social Network
A Thinking Ape,We build communities through massively multiplayer mobile games,B2B,B2B -> Marketing,Gaming
a0.dev,We make mobile apps using AI.,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Generative AI|Design
A1Zap by A1Base,The social network layer for AI apps,B2B,"B2B -> Engineering, Product and Design",Social
Abacus,Making expense reports obsolete,B2B,B2B -> Finance and Accounting,Fintech|SaaS|Payments|B2B
Abalone Bio,We create activating antibodies to treat diseases others can't.,Healthcare,Healthcare -> Drug Discovery and Delivery,Machine Learning|Synthetic Biology|Therapeutics|Drug discovery
Abatable,Carbon markets platform and solutions,Industrials,Industrials -> Climate,Carbon Capture and Removal|B2B|Climate
Abbot,Your Customer Success Co-Pilot,B2B,B2B -> Sales,Developer Tools|SaaS|Customer Success
Abel,Transforming document review for litigation teams,B2B,B2B -> Legal,Artificial Intelligence|Generative AI|B2B|Legal|LegalTech
Abel Police,Automating police paperwork,Other,Government,
AbInitio Bio,The Intelligence layer for Drug Manufacturing,Healthcare,Healthcare -> Drug Discovery and Delivery,
Able,India's Largest Placement Platform for Early Professionals,Consumer,Consumer -> Job and Career Services,Consumer|India|Edtech
Able Health,Able Health gets doctors paid more for higher quality care,Healthcare,Healthcare -> Healthcare IT,
Abstra,Automate finance operations with Python and AI,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|SaaS|Finance|B2B|Automation
Absurd,The Creative OS for AI video,B2B,B2B -> Marketing,Generative AI|Video|Media|Marketing|Advertising
Abundant,Agent simulation and RL for researchers,B2B,B2B,AIOps|Artificial Intelligence|API|AI
Accend,AI agents for commercial underwriting at banks and fintechs,Fintech,Fintech,Fintech|Generative AI|Finance|AI
AccessOwl,Managing your Employees' Access to SaaS,B2B,B2B -> Infrastructure,SaaS|B2B|Compliance|Security
AccioJob,Upskilling bootcamp for India,Education,Education,Education|Recruiting
Accord,The Revenue Excellence Platform,B2B,B2B -> Sales,SaaS|B2B
Acely,Every student's AI coach for college readiness,Education,Education,Education|eLearning|Consumer
ACLU,Defender of rights and liberties,Other,Unspecified,Nonprofit|Legal
Acolite,AI Native Commercial Insurance Broker,Fintech,Fintech -> Insurance,Artificial Intelligence|Insurance|Operations
Acrely,Enterprise Voice Agents,B2B,B2B,
Actiondesk,Access all your live data in one place,B2B,"B2B -> Engineering, Product and Design",SaaS
Actipulse Neuroscience,Bringing non-invasive brain stimulation from the hospital to the home,Healthcare,Healthcare -> Medical Devices,Mental Health Tech|Neurotechnology|Medical Devices
Activeloop,Database for AI,B2B,B2B -> Infrastructure,Computational Storage|Deep Learning|Generative AI|Computer Vision|Open Source
Activepieces,"Open-source, AI-first and no-code business automation tool",B2B,"B2B -> Engineering, Product and Design",Workflow Automation|Open Source|No-code|Enterprise Software|AI
ACX,Next-generation biocides for sustainable agriculture at scale,Healthcare,Healthcare -> Industrial Bio,Synthetic Biology|Biotech|Healthcare|Agriculture|Drug discovery
Adam,AI Powered CAD,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Hardware|Design
Adapted,AI physical therapy for athletes,Consumer,Consumer,Artificial Intelligence|Fitness|Digital Health|Health & Wellness
Adaptional,AI-powered insurance claims review,B2B,B2B,AIOps|Artificial Intelligence|Insurance|Enterprise|Enterprise Software
Adaptyv,We're building fully automated labs for protein engineering,Healthcare,Healthcare -> Drug Discovery and Delivery,AI-powered Drug Discovery|Synthetic Biology
Aden,Open source agent generation framework,B2B,B2B -> Infrastructure,Artificial Intelligence|Developer Tools|Infrastructure
Adentris,Real-time AI Compliance & Revenue Integrity for Medical Providers,Healthcare,Healthcare -> Healthcare IT,Artificial Intelligence|Health Tech|B2B|Compliance|Enterprise Software
